Image_Path,Patient_Text,Severity_Label
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-54.jpg,"""Cloderm seems to clear up my elbows from all the peeling and bleeding from being so dry.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-132.jpg,"""I have mild psoriasis on elbows; been using Tazorac and/or Metamosone.  Got a &#039;script for Vectical; the outcome has been quite good.  Still can see some slightly red spots (which helps daily re-treatment), but mostly the skin now appears normal.  I bought a second tube before my coupons expired (see below).

The shock is the price: Without insurance, this would cost $600/tube.  Insurance co-pay was $65, and Vectical has a coupon that pays the co-pay, so it cost me $0.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Oral-15.jpg,"""I wanted to tell people about Humira. I have been on it 10days with no side effects! My scalp was 95% covered by Psoriasis. I started my first injection March 1st and today my scalp and behind my ears are clearer. The Humira pen is nothing to worry about doesn&#039;t hurt. Leave it out 30 mins and inject in your stomach easy as can be! Good luck everyone.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Penis-7.jpg,"""I have been using Clobex spray for nearly 2 years. It is the best so far. My psoriasis is on my scalp, elbows and small spots here  and there on my body.  The Spray is the wonderful, real easy to use for applying to my scalp at odd angels.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-126.jpg,"""After about a year with this, I went to see a doctor &amp; I was just diagnosed with pustular psoriasis - palms of hands and bottom of feet only. Before seeing a doctor, I started juicing heavily - 200lbs (no, that&#039;s not a typo) of carrots in three weeks &amp; added green juices to my regimen as well. My hands had completely cleared and my feet were almost completely clear. But because of another issue, I went to my doctor - and because of the then upcoming tests I backed off of my juicing completely. The psoriasis came back on my hands and feet. While I wasnt juicing, I figured I would find out what it was. Doc gave me the Clobex spray. For the immediate painful inflammation problems in my feet caused by the psoriasis, this stuff is AWESOME.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-vaginal-6.jpg,"""Clobex is in shampoo form. I use that weekly. Need 2 tsp. Lathers up really well. I leave the shampoo on for a few hours then rinse. This is a great maintenance first me between the spray applications- I apply the spray on wet hair/scalp so it stretches the product more bc it&#039;s expensive.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-91.jpg,"""After only 2 applications my skin had a nearly normall appearance and feel.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Hand-19.jpg,"""I was 90% covered. Dermatologist took one look at me and put me on Stelara. Within a week, people started remarking that the plaques along my hairline seemed to be fading. After the booster, all but my scalp and back of thighs had cleared, and both of those were greatly diminished. Within six months, the raised red areas where the plaques had been were clear. At one year, all that&#039;s left is minor plaques on my scalp that could be mild dandruff. I have noticed that things like bruises and bug bites seem to take a long time to heal, but given the action of the drug that seems to make sense. My insurance covers the majority of the (expensive!) medication, and there is a program that covers the rest so I have no out of pocket expense on it.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosis-Vulva-34.jpg,"""I have been taking a 15 mg weekly dose (three doses of 5 mg at 12 hour intervals once a week) for five weeks now.  My psoriasis -- pretty heavy scaling on all joints, and &quot;splatter&quot; over pretty much the whole body, which I&#039;ve had for 18 years (I&#039;m 51) -- has gone almost completely (still a little bit on elbows, knees, and ankles; hands and rest of body are completely clear).

Yes, early days, but hopefully....

My only suggestion is to get empty gelatine capsules (or gelatine substitute if you are vegetarian; harder to get hold of) and put the tablets in them before taking.  Helps avoid stomach upset.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-116.jpg,"""I took Soriatane for about four months until my hair started falling out.  Although, Soriatane cleared 80% my moderate Psoriasis, I did not want to lose more hair.
While taking Soriatane my lips became very dry and cracked, peeling skin on feet and loss of hair.  It was effective in clearing the Psoriasis.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Hand-20.jpg,"""I just started using Halobetasol today.  I will come back to write if my condition is getting better""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Chronic-Plaque-97.jpg,"""First time in 8-10 years I have been able to comfortably wear dark colored shirts. I have been extremely happy with this medicine. I have a few patches on shin and elbow that won&#039;t clear, but almost everything else is gone. Also, I used to get a lot of mouth ulcers, and now those are gone too.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Anus-3.jpg,"""My Dad has been suffering with Psoriasis for way too long.  It&#039;s emotionally draining for him until we tried Humira.  His skin improved within the first week of the injection.  The complicated thing was waiting for his health insurance to approve and pay for it. Going through all the tests to make sure he&#039;s free of any infection before treatment can be started took awhile also.  Overall, we are very happy with the results.  We just hope that the price can be cheaper for people without health insurance.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Guttate-41.jpg,"""It works very well. The only thing I dislike about it is that I have to use it less than I am supposed to otherwise I run out too fast and have to go without.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-198.jpg,"""It&#039;s the only non-steroid medicine I&#039;ve found that actually works.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-nails-23.jpg,"""I must be in the 10% who react to Dovonex. I have mild plaque psoriasis on my scalp and this cream made it so much worse! After one week of usage, my whole scalp was inflamed and scaly, as well as a nice ring around my face. Even my ears! The literature says this will happen in 10% of cases. Lucky me. I discontinued immediately.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-178.jpg,"""Controlled itchiness but did little to reduce inflammation.""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Oral-30.jpg,"""I started methotrexate in September 2014 as my body was 75% covered with psoriasis and I had tried every topical/light treatment going. The drug worked wonders and I couldn&#039;t believe how my skin was clearing up, by jan/feb I&#039;m actually wearing dresses without tights and short sleeves (especially at work which I&#039;d never done before) the only downside was that the day after I took methotrexate I felt so tired I&#039;ve ended up having days off work because of it, I decided to come off it in about may 2015 and am now waiting to try a new drug Adalumimab (spelling!?) and my skin has come back worse from methotrexate I&#039;m in so much pain and I&#039;m covered in guttate :(.""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rubra-pilaris-47.jpg,"""I have had psoriasis for many years (40) and have seasonably felt the conditions itchiness during the springtime.  This year, fed up with the condition, I used Ultravate liberally on all areas where condition exists, but this time, I also exposed the area so UV rays of 9 and above for quite some time, building up to an exposure of one hour in the sunlight.  Did not find suntan booths beneficial.  Where psoriasis use to be, now it is only an area that you can see, but it no longer itches.  I also use coconut oil on the areas to keep the moisture in.  After sun exposure, use coconut oil on top of the Ultravate and go in the shade and let the ultravate and coconut oil kind of dry up.  It works for me.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-162.jpg,"""I have pretty bad psoriasis. It was mild at first and I was prescribed Taclonex and Desonide which worked like a charm. I changed insurances and they didn&#039;t cover Taclonex so my psoriasis spread like wild fire. What is worse is I am getting married in less than a year and it is very noticeable on my arms. I finally got the insurnace company to grant me an exception so I have begun using Taclonex religiously! I hope it clears by my wedding.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-98.jpg,"""After suffering 75% coverage for 25 years and various medications and creams which helped a little for a few weeks or months, Humira has totally cleared all my skin. I still have dark scars from where it used to be on my back and legs, but they don&#039;t bother me in the slightest. I have been on Humira treatment since December 2009. 
No more vacuuming the floor every day for dead skin flakes, my princess thinks that&#039;s the best result!""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Hypertrophic-19.jpg,"""i was getting suicidal from severe scalp psoriasis methotrexate cleared it up,my bald spts went away but for a week ive noticed hair loss and patches coming back,i&#039;m so upset""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/08LSAAnal062804.jpg,"""I have had two injections of Stelara so far and I am clear of all psoriasis.  I did not have psoriasis too bad, just on my hips, elbows and the side of my nose. I have kept my head shaved which helps keep it off my head. I have been dealing with psoriasis for over 20 years, but have just recently developed psoriatic arthritis (about 3 years now)  I was on Enbrel and it worked well for the psoriasis but did nothing for the arthritis, and it looks like Stelara is going to be the same way even though the doctor said it should work better than Enbrel for arthritis. The only other change in my lifestyle that I have noticed is the fact that I can hardly sleep. 3 hours a night on a good night. Not sure if this is because of the Stelara or not.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/seborrheic-dermatitis-152.jpg,"""Stelara has been great. I have experienced no side effects and I just got my second shot and my Psoriasis is 90% faded after 4 weeks since my first shot.

Basically if your insurance will cover it&#039;s realistically a miracle. Good luck reader. I hope you have a similar experience of success.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Chronic-Plaque-89.jpg,"""It helps when I have outbreaks, within hours symptoms are calmed and itching subsides. I was using sample cream from my dermatologist and recently got a prescription which was FREE! I am hopeful now that I can use more regularly that I can avoid breakouts.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-185.jpg,"""I apply it all over my face after washing and patting dry. I keep it on overnight, don&#039;t wash it off, and keep it on until the next night I shower. I do this three days in a row, and then I do this routine every other day for about 2 months. This clears up my dermatitis for 2-3 months, at which point, I start my routine all over. Winter months are a battle with the irritation, peeling, and redness, but that&#039;s when I have to be most aggressive with treatment. When my skin gets to the point where its super itchy, raw and red, I use benedryl lotion and it works like a charm. I love this product. My skin looks fantastic. Not only is it really great at clearing up my skin, it&#039;s also great at diminishing fine lines.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Oral-7.jpg,"""Happy to see Enbrel worked for many of you. For me it&#039;s only worse. I think I have just a break down of skin damage from sun that worked and steroid creams. """,Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-122.jpg,"""annabamma-  you need to PROVE beyond a shadow of a doubt that her psoriasis is debilitating.  It must be SEVERE for them to cover the cost of the medicine.  Moderate just wont cut it, it didn&#039;t in my case.  I know its easier said than done but I let my skin get horrifically bad just to prove to my insurance that it should be covered.  TAKE PICTURES and see several dermatologists until one considers it a MAJOR problem.  Hope that helps.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-134.jpg,"""I have had psoriatic arthritis since age 10.  The deformities in my hands are very, very severe.  I have taken methotrexate for about 6 weeks, and don&#039;t notice a difference, except have been feeling sick to my stomach, tired, and bowel - movements are painful and a little blood is visible.  Kinda scary--I see my rhematologist in a few weeks.  Psoriasis patches seem burning or itchier.""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Guttate-58.jpg,"""It&#039;s amazing. First the redness goes away then no more itching.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/reiter-syndrome-4.jpg,"""I have had psoriasis since I was 16 years old, covering over 90% of my body. I am a woman of 53 now, I have used creams, to no avail. I have been on Humira injections for about 18 months and I am clear and was actually able to wear a bathing suit to the beach this year with no signs anywhere of psoriasis.  It has truly changed my life and my outlook.  I am after all these years finally clear, normal.  I don&#039;t have to hide myself with long sleeves and long pants year round, answer those awkward questions and looks from strangers. Truly a wonderful medication. No side effects as of yet, not looking for any this far along in treatment. The shot does tend to be a bit painful, through the few moments of pain, I receive clear skin.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-52.jpg,"""I LOVE this product. I&#039;m 27 and psoriasis just flared up for the first time ever! I hadn&#039;t seen a derm yet but was hoing to if this product didnt work. I used it 4x a day for about 2 weeks n it is gone!!! I ran out but will b getting more to keep applying so it stays away. It does burn a lil w open sores, but goes away quickly. The smell could b better but w these results, idc""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-35.jpg,"""I started Stelara Sept 2014.  By January 2015, psoriasis are worse than they have ever been.  I even have patches on my face!  I&#039;ve suffered with psoriasis for 30 years.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Palm-Soles-10.jpg,"""27 year old female suffering from plaque psoriasis off and on my whole life. These past 4 years has been one steady flare up with an increase in severity. I was on Methotrexate for 1 1/2 years while using various topicals.  I&#039;ve been on Humira for 3 months in addition to the use of Clobex spray and Vectical ointment. It seems as if my nails and scalp have gotten worse and the patches on my calves and arms are not changing.  I hope I just have to give Humira a bit more time!""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Histology-7.jpg,"""On Stelara for about 9 months now.  It does work well on reducing my very thick, very stubborn head to toe psoriasis that I&#039;ve suffered from for nearly 20 years.

The reason I am only giving it a 6 rating is that the manufacturer has totally over rated their product in terms of the length of time it lasts.  For me, this medicine lasts about 4 weeks at best and I need another shot or the psoriasis flares up with the vengeance of a woman scorned.  If I was to wait the suggested 12 weeks the psoriasis becomes worse than before I started.  As a result of this, the price of the medicine should be drastically reduced to better reflect it&#039;s true half-life.""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-110.jpg,"""My mother broke out seemed like overnight with red bumps that quickly turned into dry patches. The dermatologist knew right away what it was. We have been on the Methotrexate for 6 weeks and the flaking is totally gone and is healing. The dose was 2 Friday morning, 2 Friday evening and 2 Saturday morning. Only side effect was appetite and very tired for 2 days.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/seborrheic-dermatitis-130.jpg,"""Thins and discolors the skin. Also can cause glaucoma if you get it in your eyes.!!!""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-pustular-generalized-37.jpg,"""Relieves about 90% of scaling and itch.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/08SebDermFace.jpg,"""Started with pill form of methotrexate at 15 mg dosage per week.  Moved to injection form and increased dosage to 25mg per week.  Seen lots of improvement on my psoriasis.  Tired the day and day after injection but not concerned.  Stomach a bit irritated but a little drawback for the good benefits.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-95.jpg,"""Better than Enbrel in my opinion. My condition after 3 months has markedly improved to, I&#039;d say,  90% with one dose every other week.  It has changed my life.  As far as any side effects I have not experienced any after 6 months.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-155.jpg,"""I have both psoriasis and psoriatic arthritis. I have been dealing with psoriasis for over 20yrs all over my body and head ...always embarrassed and having to wear long sleeved shirts. Those of you that are still looking for something Stelara is worth trying. I love it after trying several other medications this is so far the best. I have found and it helps with both. I haven&#039;t had any side effects either. I have a 3yr old and I can finally take him to the park alone.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Pityriasis-Lichenoides-30.jpg,"""I am jealous of all those this drug has helped. I developed issues after taking the first dose but with my doctors encouragement I continued and after the 2nd dose I had a stroke. All test were negative and they hospital sent this company a letter stating they needed to add stroke to their list of side effects. I am back to normal 3 years later and living with the scales and pain from my arthritis.""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Drug-6.jpg,"""I have had Psoriasis since puberty and for lack of a better term it was a living hell.  It covered 80% of my body.  I started Enbrel 4 years ago and I cleared up drastically within the first month. It was a miracle.  Only side effect I encountered was during my blood work check ups my doctor noticed my ANA was high which could indicate drug induced lupus so we kept a close eye on that.  I am no longer on Enbrel because I got Pneumonia last summer and couldn&#039;t take it while sick and I never broke out the whole time I was off it. So they saw no need to go back on it.  Since then I have been experiencing break outs again and wish to go back on but its not a large enough percentage covering my body to start it up again.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-93.jpg,"""54 years old ..chronic psoriasis for over 49 years. I&#039;ve had all the treatments known and then some. This medicine is a God send. It&#039;s the only treatment that&#039;s ever truly worked and I can say I&#039;m 100%. """,Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-180.jpg,"""I have used Stelara now for 8 months. After years of anguish, defeat, pain( physically and mentally) sadness, I feel freed from this terrible curse. My skin/joints looks but mainly FEELS so much better. My quality of life has sky rocketed! Your initial ground work obtaining Doctor appointments, TB testing and establishing the right dosage that is effective for you and receiving assistance helping with cost. Once you get through those things... I guarantee it IS worth it!! DO IT!""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-146.jpg,"""Stelara completely cleared 90% BSA, including severe palmar plantar pustular psoriasis within 52 days of initiating treatment. Side effects included extreme fatigue lasting approximately 72 hours after each application. Feeling &quot;sunburned&quot; was noted for several days after initial fatigue.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosis-Vulva-43.jpg,"""After 30 plus years of SUFFERING with Psoriasis and after being on Stelara for 5 years now I don&#039;t have a skerik any where on my body.

I had a PASI rating of 91, now its 0.

Thank you Stelara.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-161.jpg,"""I have had psoriasis for years and have treated it with cortisone to control the inflammations and itching.  I discovered Clobex about a year ago and used it on my elbows and scalp.  It does a great job in eliminating the external signs of psoriasis when used for 2 to 4 weeks.  However, after about a month the symptoms return.  I have used it a second and third time with the same results but I am hesitant to continue this process considering the warnings provided.""",Moderate
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Hand-59.jpg,"""I had 65% coverage of my body with thick plaque psoriasis. PUVA, methaltrexate, every cream in the book....no improvement. Was fortunate enough to join the clinical trials for stelara in 2005, have been injecting 90 mg every 3 months since then.  I am 99.9% clear with no flare ups and PA under control. No side effects that I can recognize. To me Stelara is a life changer.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-infant-2.jpg,"""This was life changing to me. I have only had Psoriasis for 2 years but it took over my entire body and life. Without this medicine I would have had to stop working and probably would have hidden from the entire world.  Thank you Enbrel.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/08TineaAmiantacea1.jpg,"""I have pretty bad psoriaisis all over my body since I was 5. I am in my 40&#039;s now. This stuff was amzing. It cleared up all my patches within a week and it took quite a while for them to start coming back after I stopped using it. 
Sadly, now I am out and unfortunately, you need a prescrip for this.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/08SebDermEAr.jpg,"""Within 7 days my condition improved by 75 percent. The flaking almost COMPLETELY stopped. The only minor side effect was a slight darkening of the skin where the medication was applied. I now use the drug only when a flare up takes place. My pharmacist uses the following formula: Salicylic acid:10 percent/Sulfur:8 percent/ coal tar:2 percent.  Avoid excessive exposure to the sun when taking using this ointment.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-131.jpg,"""46 year old male.  Not to be overly dramatic, but I was ready to commit suicide my skin was so bad.  My hands looked like I was a fire victim.  My elbows and legs burned and bled constantly.  My scalp would flake and drop into my eyes and all over my clothes.  I was in constant pain, and my relationships were non existent.  Flaky skin would drift off of me whatever I did.  I was weeks away from having to leave work and go on disability, which would have been the end of the line for me.  Depression set in so badly I just wanted to end it all.  Then I found a new dermatologist.  Everything changed.  My first shot of Stelara made a difference.  Nine months later, 90% clear.  A few trouble spots, but my hands are CLEAR!  What a life changer!""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Chronic-Plaque-186.jpg,"""I&#039;ve had psoriasis 12 years I am now 25 years old and have been on Humira for a little over 6 months now and love it! mM psoriasis started out on my scalp and only got worse over the years. When I started Humira I was Covered head to toe. I tried creams oils shampoos then on to methotrexate to light treatments which none had the affects of Humira! Anyway I&#039;m now 98% clear with just small spots on my elbows that never went away fully. I am very happy with the results Humira changed my life!""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-139.jpg,"""Worked really well over just a few days.""",Mild
